> LCR,SWEEP?
1.5888E3,6.8674E-1,1.4562E0,4.5485E4,-3.4479E1,-2.5793E0,3.8903E-9,3.7495E4
1.7828E3,6.6979E-1,1.4930E0,4.3800E4,-3.3814E1,-2.1760E0,3.6626E-9,3.6391E4
2.0004E3,6.5230E-1,1.5330E0,4.1745E4,-3.3117E1,-1.8146E0,3.4884E-9,3.4964E4
2.2446E3,6.3479E-1,1.5753E0,4.0189E4,-3.2407E1,-1.5272E0,3.2921E-9,3.3930E4
2.5185E3,6.1894E-1,1.6157E0,3.8513E4,-3.1755E1,-1.2809E0,3.1177E-9,3.2748E4
2.8260E3,6.0324E-1,1.6577E0,3.6960E4,-3.1100E1,-1.0752E0,2.9500E-9,3.1647E4
3.1709E3,5.8641E-1,1.7053E0,3.5375E4,-3.0388E1,-8.9816E-1,2.8049E-9,3.0515E4
3.5579E3,5.7048E-1,1.7529E0,3.4201E4,-2.9704E1,-7.5810E-1,2.6395E-9,2.9707E4
3.9922E3,5.5416E-1,1.8045E0,3.2912E4,-2.8993E1,-6.3597E-1,2.4990E-9,2.8787E4
4.4795E3,5.3906E-1,1.8551E0,3.1689E4,-2.8327E1,-5.3424E-1,2.3629E-9,2.7894E4
5.0263E3,5.2252E-1,1.9138E0,3.0552E4,-2.7588E1,-4.4802E-1,2.2379E-9,2.7078E4
5.6398E3,5.0667E-1,1.9737E0,2.9530E4,-2.6870E1,-3.7664E-1,2.1144E-9,2.6342E4
6.3283E3,4.9044E-1,2.0390E0,2.8501E4,-2.6125E1,-3.1563E-1,2.0040E-9,2.5589E4
7.1007E3,4.7420E-1,2.1088E0,2.7513E4,-2.5370E1,-2.6422E-1,1.9014E-9,2.4860E4
7.9674E3,4.5870E-1,2.1801E0,2.6566E4,-2.4641E1,-2.2125E-1,1.8035E-9,2.4146E4
8.9399E3,4.4256E-1,2.2596E0,2.5688E4,-2.3872E1,-1.8508E-1,1.7125E-9,2.3491E4
1.0031E4,4.2679E-1,2.3431E0,2.4825E4,-2.3112E1,-1.5461E-1,1.6282E-9,2.2833E4
1.1256E4,4.1130E-1,2.4313E0,2.4099E4,-2.2357E1,-1.2962E-1,1.5426E-9,2.2287E4
1.2630E4,3.9476E-1,2.5332E0,2.3405E4,-2.1542E1,-1.0830E-1,1.4664E-9,2.1770E4
1.4171E4,3.7793E-1,2.6460E0,2.2706E4,-2.0703E1,-9.0154E-2,1.3991E-9,2.1240E4
1.5901E4,3.6010E-1,2.7770E0,2.2104E4,-1.9804E1,-7.4959E-2,1.3365E-9,2.0797E4
1.7842E4,3.4274E-1,2.9177E0,2.1504E4,-1.8919E1,-6.2193E-2,1.2795E-9,2.0342E4
2.0020E4,3.2490E-1,3.0779E0,2.0943E4,-1.7999E1,-5.1447E-2,1.2285E-9,1.9918E4
2.2463E4,3.0613E-1,3.2666E0,2.0498E4,-1.7021E1,-4.2513E-2,1.1808E-9,1.9600E4
2.5205E4,2.8775E-1,3.4752E0,1.9923E4,-1.6053E1,-3.4787E-2,1.1462E-9,1.9146E4
2.8282E4,2.6837E-1,3.7262E0,1.9489E4,-1.5022E1,-2.8428E-2,1.1140E-9,1.8823E4
3.1734E4,2.4841E-1,4.0256E0,1.9059E4,-1.3951E1,-2.3044E-2,1.0916E-9,1.8497E4
3.5607E4,2.2814E-1,4.3833E0,1.8653E4,-1.2851E1,-1.8545E-2,1.0773E-9,1.8186E4
3.9953E4,2.0731E-1,4.8238E0,1.8340E4,-1.1712E1,-1.4830E-2,1.0700E-9,1.7958E4
4.4830E4,1.8540E-1,5.3938E0,1.8053E4,-1.0503E1,-1.1683E-2,1.0788E-9,1.7751E4
5.0302E4,1.6278E-1,6.1432E0,1.7782E4,-9.2456E0,-9.0394E-3,1.1075E-9,1.7551E4
5.6442E4,1.3989E-1,7.1483E0,1.7509E4,-7.9637E0,-6.8402E-3,1.1624E-9,1.7340E4
6.3332E4,1.1631E-1,8.5978E0,1.7251E4,-6.6341E0,-5.0084E-3,1.2610E-9,1.7135E4
7.1062E4,9.1347E-2,1.0947E1,1.7096E4,-5.2194E0,-3.4832E-3,1.4401E-9,1.7026E4
7.9736E4,6.5669E-2,1.5228E1,1.6988E4,-3.7571E0,-2.2219E-3,1.7931E-9,1.6951E4
8.9469E4,3.9235E-2,2.5488E1,1.6941E4,-2.2469E0,-1.1814E-3,2.6785E-9,1.6928E4
1.0039E5,1.2956E-2,7.7183E1,1.6889E4,-7.4245E-1,-3.4687E-4,7.2459E-9,1.6887E4
1.1264E5,1.3856E-2,7.2170E1,1.6886E4,7.9403E-1,3.3056E-4,-6.0392E-9,1.6885E4
1.2639E5,4.0902E-2,2.4449E1,1.6947E4,2.3422E0,8.7210E-4,-1.8181E-9,1.6933E4
1.4182E5,6.7527E-2,1.4809E1,1.7065E4,3.8630E0,1.2903E-3,-9.7609E-10,1.7026E4
